"NGA","Polity","Variable","Value.From","Value.To","Date.From","Date.To","Fact.Type","Value.Note","Date.Note"
"Latium","ItLatBA","Bureaucracy characteristics Merit promotion","0","","","","simple","simple",""
"Latium","ItLatBA","Bureaucracy characteristics Specialized government buildings","0","","","","simple","simple",""
"Latium","ItLatBA","Law Courts","0","","","","simple","simple",""
"Latium","ItLatBA","Law Formal legal code","0","","","","simple","simple",""
"Latium","ItLatBA","Law Judges","0","","","","simple","simple",""
"Latium","ItLatBA","Law Professional Lawyers","0","","","","simple","simple",""
"Latium","ItLatBA","Specialized Buildings: polity owned irrigation systems","0.1","","","","simple","simple",""
"Latium","ItLatBA","Specialized Buildings: polity owned drinking water supply systems","0","","","","simple","simple",""
"Latium","ItLatBA","Specialized Buildings: polity owned markets","0.1","","","","simple","simple",""
"Latium","ItLatBA","Specialized Buildings: polity owned food storage sites","0.1","","","","simple","simple",""
"Latium","ItLatBA","Specialized Buildings: polity owned Roads","0","","","","simple","simple",""
"Latium","ItLatBA","Specialized Buildings: polity owned Bridges","0","","","","simple","simple",""
"Latium","ItLatBA","Specialized Buildings: polity owned Canals","0","","","","simple","simple",""
"Latium","ItLatBA","Specialized Buildings: polity owned Ports","0","","","","simple","simple",""
"Latium","ItLatBA","Other Couriers","0","","","","simple","simple",""
"Latium","ItLatBA","Other Postal stations","0","","","","simple","simple",""
"Latium","ItLatBA","Other General postal service","0","","","","simple","simple",""
"Latium","ItLatBA","Information Nonwritten records","0.9","","","","simple","simple",""
"Latium","ItLatBA","Information Written records","0.1","","","","simple","simple",""
"Latium","ItLatBA","Information Script","0.1","","","","simple","simple",""
"Latium","ItLatBA","Information Non-phonetic writing","0.1","","","","simple","simple",""
"Latium","ItLatBA","Information Phonetic alphabetic writing","0.1","","","","simple","simple",""
"Latium","ItLatBA","Information Lists tables and classifications","0","","","","simple","simple",""
"Latium","ItLatBA","Information Calendar","0","","","","simple","simple",""
"Latium","ItLatBA","Information Sacred Texts","0.1","","","","simple","simple",""
"Latium","ItLatBA","Information Religious literature","0.1","","","","simple","simple",""
"Latium","ItLatBA","Information Practical literature","0.1","","","","simple","simple",""
"Latium","ItLatBA","Information History","0.1","","","","simple","simple",""
"Latium","ItLatBA","Information Philosophy","0.1","","","","simple","simple",""
"Latium","ItLatBA","Information Scientific literature","0.1","","","","simple","simple",""
"Latium","ItLatBA","Information Fiction","0.1","","","","simple","simple",""
"Latium","ItLatBA","Other Articles","0.9","","","","simple","simple",""
"Latium","ItLatBA","Other Foreign coins","0","","","","simple","simple",""
"Latium","ItLatBA","Other Indigenous coins","0","","","","simple","simple",""
"Latium","ItLatBA","Other Paper currency","0","","","","simple","simple",""
"Latium","ItLatBA","Normative Ideological precepts concerning morality/supernatural beings High Gods (creator gods)","0","","","","simple","simple",""
"Latium","ItLatIA","Social Scale Population of the largest settlement","100","300","-800","","complex","range","simple"
"Latium","ItLatIA","Hierarchical Complexity Administrative levels","1","3","","","complex","range",""
"Latium","ItLatIA","Hierarchical Complexity Military levels","1","3","","","complex","range",""
"Latium","ItLatIA","Hierarchical Complexity Religious levels","1","","","","simple","simple",""
"Latium","ItLatIA","Hierarchical Complexity Settlement hierarchy","1","","","","simple","simple",""
"Latium","ItLatIA","Professions Professional military officers","0","","","","simple","simple",""
"Latium","ItLatIA","Professions Professional soldiers","0","","","","simple","simple",""
"Latium","ItLatIA","Professions Professional priesthood","0.9","","","","simple","simple",""
"Latium","ItLatIA","Bureaucracy characteristics Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItLatIA","Bureaucracy characteristics Examination system","0","","","","simple","simple",""
"Latium","ItLatIA","Bureaucracy characteristics Merit promotion","0","","","","simple","simple",""
"Latium","ItLatIA","Bureaucracy characteristics Specialized government buildings","0","","","","simple","simple",""
"Latium","ItLatIA","Law Courts","0","","","","simple","simple",""
"Latium","ItLatIA","Law Formal legal code","0.1","","","","simple","simple",""
"Latium","ItLatIA","Law Judges","0","","","","simple","simple",""
"Latium","ItLatIA","Law Professional Lawyers","0","","","","simple","simple",""
"Latium","ItLatIA","Specialized Buildings: polity owned irrigation systems","0.1","","","","simple","simple",""
"Latium","ItLatIA","Specialized Buildings: polity owned drinking water supply systems","0","","","","simple","simple",""
"Latium","ItLatIA","Specialized Buildings: polity owned markets","0.1","","","","simple","simple",""
"Latium","ItLatIA","Specialized Buildings: polity owned food storage sites","0.1","","","","simple","simple",""
"Latium","ItLatIA","Specialized Buildings: polity owned Bridges","0.1","","","","simple","simple",""
"Latium","ItLatIA","Specialized Buildings: polity owned Canals","0","","","","simple","simple",""
"Latium","ItLatIA","Specialized Buildings: polity owned Mines or quarries","1","","","","simple","simple",""
"Latium","ItLatIA","Other Couriers","0.1","","","","simple","simple",""
"Latium","ItLatIA","Other Postal stations","0","","","","simple","simple",""
"Latium","ItLatIA","Other General postal service","0","","","","simple","simple",""
"Latium","ItLatIA","Information Nonwritten records","1","","","","simple","simple",""
"Latium","ItLatIA","Information Written records","0.1","","","","simple","simple",""
"Latium","ItLatIA","Information Script","0.1","","","","simple","simple",""
"Latium","ItLatIA","Information Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItLatIA","Information Phonetic alphabetic writing","0.1","","","","simple","simple",""
"Latium","ItLatIA","Information Lists tables and classifications","0.1","","","","simple","simple",""
"Latium","ItLatIA","Information Calendar","0","","","","complex","uncertain",""
"Latium","ItLatIA","Information Calendar","1","","","","complex","uncertain",""
"Latium","ItLatIA","Information Sacred Texts","0.1","","","","simple","simple",""
"Latium","ItLatIA","Information Religious literature","0.1","","","","simple","simple",""
"Latium","ItLatIA","Information Practical literature","0.1","","","","simple","simple",""
"Latium","ItLatIA","Information History","0.1","","","","simple","simple",""
"Latium","ItLatIA","Information Philosophy","0.1","","","","simple","simple",""
"Latium","ItLatIA","Information Scientific literature","0.1","","","","simple","simple",""
"Latium","ItLatIA","Information Fiction","0.1","","","","simple","simple",""
"Latium","ItLatIA","Other Articles","1","","","","simple","simple",""
"Latium","ItLatIA","Other Indigenous coins","0","","","","simple","simple",""
"Latium","ItLatIA","Other Paper currency","0","","","","simple","simple",""
"Latium","ItLatIA","Largest scale collective ritual of the official cult Frequency for the ritual specialist","2","","","","simple","simple",""
"Latium","ItLatIA","Largest scale collective ritual of the official cult Frequency per participant","2","","","","simple","simple",""
"Latium","ItLatIA","Most euphoric collective ritual of the official cult Frequency for the ritual specialist","2","","","","simple","simple",""
"Latium","ItLatIA","Most euphoric collective ritual of the official cult Frequency per participant","2","","","","simple","simple",""
"Latium","ItLatIA","Normative Ideological precepts concerning morality/supernatural beings High Gods (creator gods)","0","","","","simple","simple",""
"Latium","ItRomRg","Social Scale Polity Population","20000","50000","","","complex","range",""
"Latium","ItRomRg","Social Scale Polity territory","1000","","","","simple","simple",""
"Latium","ItRomRg","Social Scale Population of the largest settlement","4000","16000","-700","","complex","range","simple"
"Latium","ItRomRg","Social Scale Population of the largest settlement","14250","57000","-600","","complex","range","simple"
"Latium","ItRomRg","Hierarchical Complexity Administrative levels","3","","","","simple","simple",""
"Latium","ItRomRg","Hierarchical Complexity Military levels","4","5","","","complex","range",""
"Latium","ItRomRg","Hierarchical Complexity Religious levels","1","2","","","complex","range",""
"Latium","ItRomRg","Hierarchical Complexity Settlement hierarchy","2","3","","","complex","range",""
"Latium","ItRomRg","Professions Professional military officers","0","","","","simple","simple",""
"Latium","ItRomRg","Professions Professional soldiers","0","","","","simple","simple",""
"Latium","ItRomRg","Professions Professional priesthood","0.9","","","","simple","simple",""
"Latium","ItRomRg","Bureaucracy characteristics Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItRomRg","Bureaucracy characteristics Examination system","0","","","","simple","simple",""
"Latium","ItRomRg","Bureaucracy characteristics Merit promotion","0","","","","simple","simple",""
"Latium","ItRomRg","Bureaucracy characteristics Specialized government buildings","1","","","","simple","simple",""
"Latium","ItRomRg","Law Courts","0","","","","simple","simple",""
"Latium","ItRomRg","Law Formal legal code","1","","-716","-600","complex","uncertain","range"
"Latium","ItRomRg","Law Formal legal code","0","","-716","-600","complex","uncertain","range"
"Latium","ItRomRg","Law Formal legal code","0.9","","-600","-509","complex","simple","range"
"Latium","ItRomRg","Law Judges","0","","","","simple","simple",""
"Latium","ItRomRg","Law Professional Lawyers","0","","","","simple","simple",""
"Latium","ItRomRg","Specialized Buildings: polity owned irrigation systems","0.1","","","","simple","simple",""
"Latium","ItRomRg","Specialized Buildings: polity owned drinking water supply systems","0","","","","simple","simple",""
"Latium","ItRomRg","Specialized Buildings: polity owned markets","1","","","","simple","simple",""
"Latium","ItRomRg","Specialized Buildings: polity owned food storage sites","0.9","","","","simple","simple",""
"Latium","ItRomRg","Specialized Buildings: polity owned Roads","0.9","","","","simple","simple",""
"Latium","ItRomRg","Specialized Buildings: polity owned Bridges","1","","","","simple","simple",""
"Latium","ItRomRg","Specialized Buildings: polity owned Canals","0","","","","simple","simple",""
"Latium","ItRomRg","Specialized Buildings: polity owned Ports","0","","","","complex","disputed",""
"Latium","ItRomRg","Specialized Buildings: polity owned Ports","1","","","","complex","disputed",""
"Latium","ItRomRg","Specialized Buildings: polity owned Mines or quarries","1","","","","simple","simple",""
"Latium","ItRomRg","Other Couriers","0.9","","","","simple","simple",""
"Latium","ItRomRg","Other Postal stations","0","","","","simple","simple",""
"Latium","ItRomRg","Other General postal service","0","","","","simple","simple",""
"Latium","ItRomRg","Information Nonwritten records","1","","","","simple","simple",""
"Latium","ItRomRg","Information Written records","1","","","","simple","simple",""
"Latium","ItRomRg","Information Script","1","","","","simple","simple",""
"Latium","ItRomRg","Information Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItRomRg","Information Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItRomRg","Information Calendar","1","","","","simple","simple",""
"Latium","ItRomRg","Information Sacred Texts","1","","","","simple","simple",""
"Latium","ItRomRg","Information Religious literature","1","","","","simple","simple",""
"Latium","ItRomRg","Information Practical literature","0.9","","","","simple","simple",""
"Latium","ItRomRg","Other Articles","1","","","","simple","simple",""
"Latium","ItRomRg","Other Foreign coins","1","","","","simple","simple",""
"Latium","ItRomRg","Other Indigenous coins","0","","","","simple","simple",""
"Latium","ItRomRg","Other Paper currency","0","","","","simple","simple",""
"Latium","ItRomRg","Largest scale collective ritual of the official cult Frequency for the ritual specialist","2","","","","simple","simple",""
"Latium","ItRomRg","Largest scale collective ritual of the official cult Frequency per participant","2","","","","simple","simple",""
"Latium","ItRomRg","Most frequent collective ritual of the official cult Frequency for the ritual specialist","6","","","","simple","simple",""
"Latium","ItRomRg","Most frequent collective ritual of the official cult Frequency per participant","6","","","","simple","simple",""
"Latium","ItRomRg","Most euphoric collective ritual of the official cult Frequency for the ritual specialist","2","","","","simple","simple",""
"Latium","ItRomRg","Most euphoric collective ritual of the official cult Frequency per participant","2","","","","simple","simple",""
"Latium","ItRomRg","Normative Ideological precepts concerning morality/supernatural beings High Gods (creator gods)","0","","","","simple","simple",""
"Latium","ItRomER","Social Scale Polity Population","100000","","-500","","complex","simple","simple"
"Latium","ItRomER","Social Scale Polity Population","150000","","-400","","complex","simple","simple"
"Latium","ItRomER","Social Scale Polity Population","500000","1000000","-300","","complex","range","simple"
"Latium","ItRomER","Social Scale Polity territory","1000","","-500","","complex","simple","simple"
"Latium","ItRomER","Social Scale Polity territory","1000","","-400","","complex","simple","simple"
"Latium","ItRomER","Social Scale Polity territory","25000","30000","-300","","complex","range","simple"
"Latium","ItRomER","Social Scale Population of the largest settlement","30000","","-500","","complex","simple","simple"
"Latium","ItRomER","Social Scale Population of the largest settlement","30000","","-400","","complex","simple","simple"
"Latium","ItRomER","Social Scale Population of the largest settlement","50000","60000","-300","","complex","range","simple"
"Latium","ItRomER","Hierarchical Complexity Administrative levels","3","","","","simple","simple",""
"Latium","ItRomER","Hierarchical Complexity Military levels","6","","","","simple","simple",""
"Latium","ItRomER","Hierarchical Complexity Religious levels","4","","","","simple","simple",""
"Latium","ItRomER","Hierarchical Complexity Settlement hierarchy","2","","-500","","complex","simple","simple"
"Latium","ItRomER","Hierarchical Complexity Settlement hierarchy","2","","-400","","complex","simple","simple"
"Latium","ItRomER","Hierarchical Complexity Settlement hierarchy","5","","-300","","complex","simple","simple"
"Latium","ItRomER","Professions Professional military officers","0","","","","simple","simple",""
"Latium","ItRomER","Professions Professional soldiers","0","","-500","","complex","simple","simple"
"Latium","ItRomER","Professions Professional soldiers","1","","-400","","complex","disputed","simple"
"Latium","ItRomER","Professions Professional soldiers","0","","-400","","complex","disputed","simple"
"Latium","ItRomER","Professions Professional soldiers","1","","-300","","complex","disputed","simple"
"Latium","ItRomER","Professions Professional soldiers","0","","-300","","complex","disputed","simple"
"Latium","ItRomER","Professions Professional priesthood","1","","","","simple","simple",""
"Latium","ItRomER","Bureaucracy characteristics Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItRomER","Bureaucracy characteristics Examination system","0","","","","simple","simple",""
"Latium","ItRomER","Bureaucracy characteristics Merit promotion","0","","","","simple","simple",""
"Latium","ItRomER","Bureaucracy characteristics Specialized government buildings","1","","","","simple","simple",""
"Latium","ItRomER","Law Courts","0","","","","simple","simple",""
"Latium","ItRomER","Law Formal legal code","1","","","","simple","simple",""
"Latium","ItRomER","Law Judges","0","","","","simple","simple",""
"Latium","ItRomER","Law Professional Lawyers","0","","","","complex","disputed",""
"Latium","ItRomER","Law Professional Lawyers","1","","","","complex","disputed",""
"Latium","ItRomER","Specialized Buildings: polity owned irrigation systems","0","","","","simple","simple",""
"Latium","ItRomER","Specialized Buildings: polity owned drinking water supply systems","1","","","","simple","simple",""
"Latium","ItRomER","Specialized Buildings: polity owned markets","1","","","","simple","simple",""
"Latium","ItRomER","Specialized Buildings: polity owned food storage sites","1","","","","simple","simple",""
"Latium","ItRomER","Specialized Buildings: polity owned Roads","1","","","","simple","simple",""
"Latium","ItRomER","Specialized Buildings: polity owned Bridges","1","","","","simple","simple",""
"Latium","ItRomER","Specialized Buildings: polity owned Canals","0","","","","simple","simple",""
"Latium","ItRomER","Specialized Buildings: polity owned Ports","0.9","","","","simple","simple",""
"Latium","ItRomER","Specialized Buildings: polity owned Mines or quarries","1","","","","simple","simple",""
"Latium","ItRomER","Other Couriers","1","","","","simple","simple",""
"Latium","ItRomER","Other Postal stations","0","","","","simple","simple",""
"Latium","ItRomER","Other General postal service","0","","","","simple","simple",""
"Latium","ItRomER","Information Nonwritten records","1","","","","simple","simple",""
"Latium","ItRomER","Information Written records","1","","","","simple","simple",""
"Latium","ItRomER","Information Script","1","","","","simple","simple",""
"Latium","ItRomER","Information Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItRomER","Information Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItRomER","Information Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItRomER","Information Calendar","1","","","","simple","simple",""
"Latium","ItRomER","Information Sacred Texts","1","","","","simple","simple",""
"Latium","ItRomER","Information Religious literature","1","","","","simple","simple",""
"Latium","ItRomER","Information Practical literature","1","","","","simple","simple",""
"Latium","ItRomER","Information History","0.9","","","","simple","simple",""
"Latium","ItRomER","Information Philosophy","0.9","","","","simple","simple",""
"Latium","ItRomER","Information Scientific literature","0.9","","","","simple","simple",""
"Latium","ItRomER","Information Fiction","0.9","","","","simple","simple",""
"Latium","ItRomER","Other Articles","1","","","","simple","simple",""
"Latium","ItRomER","Other Tokens","0","","","","complex","disputed",""
"Latium","ItRomER","Other Tokens","1","","","","complex","disputed",""
"Latium","ItRomER","Other Precious metals","1","","","","simple","simple",""
"Latium","ItRomER","Other Foreign coins","1","","","","simple","simple",""
"Latium","ItRomER","Other Indigenous coins","1","","","","simple","simple",""
"Latium","ItRomER","Other Paper currency","0","","","","simple","simple",""
"Latium","ItRomER","Largest scale collective ritual of the official cult Frequency for the ritual specialist","2","","","","simple","simple",""
"Latium","ItRomER","Largest scale collective ritual of the official cult Frequency per participant","2","","","","simple","simple",""
"Latium","ItRomER","Largest scale collective ritual of the official cult Frequency for the audience","2","","","","simple","simple",""
"Latium","ItRomER","Most widespread collective ritual of the official cult Frequency for the ritual specialist","2","","","","simple","simple",""
"Latium","ItRomER","Most widespread collective ritual of the official cult Frequency per participant","2","","","","simple","simple",""
"Latium","ItRomER","Most widespread collective ritual of the official cult Frequency for the audience","2","","","","simple","simple",""
"Latium","ItRomER","Most frequent collective ritual of the official cult Frequency for the ritual specialist","6","","","","simple","simple",""
"Latium","ItRomER","Most frequent collective ritual of the official cult Frequency per participant","6","","","","simple","simple",""
"Latium","ItRomER","Most frequent collective ritual of the official cult Frequency for the audience","6","","","","simple","simple",""
"Latium","ItRomER","Most euphoric collective ritual of the official cult Frequency for the ritual specialist","2","","","","simple","simple",""
"Latium","ItRomER","Most euphoric collective ritual of the official cult Frequency per participant","2","","","","simple","simple",""
"Latium","ItRomER","Most euphoric collective ritual of the official cult Frequency for the audience","2","","","","simple","simple",""
"Latium","ItRomER","Normative Ideological precepts concerning morality/supernatural beings High Gods (creator gods)","0","","","","simple","simple",""
"Latium","ItRomER","Normative Ideological precepts concerning morality/supernatural beings supernatural enforcement of fairness","0","","","","simple","simple",""
"Latium","ItRomER","Normative Ideological precepts concerning morality/supernatural beings supernatural enforcement of human reciprocity","1","","","","simple","simple",""
"Latium","ItRomER","Normative Ideological precepts concerning morality/supernatural beings supernatural enforcement of in-group loyalty","1","","","","simple","simple",""
"Latium","ItRomMR","Social Scale Polity Population","3500000","4000000","","","complex","range",""
"Latium","ItRomMR","Social Scale Polity territory","730000","","","","simple","simple",""
"Latium","ItRomMR","Social Scale Population of the largest settlement","210000","","-200","","complex","simple","simple"
"Latium","ItRomMR","Social Scale Population of the largest settlement","400000","","-100","","complex","simple","simple"
"Latium","ItRomMR","Hierarchical Complexity Administrative levels","3","4","","","complex","range",""
"Latium","ItRomMR","Hierarchical Complexity Military levels","6","","","","simple","simple",""
"Latium","ItRomMR","Hierarchical Complexity Religious levels","4","","","","simple","simple",""
"Latium","ItRomMR","Hierarchical Complexity Settlement hierarchy","5","","","","simple","simple",""
"Latium","ItRomMR","Professions Professional military officers","0","","","","simple","simple",""
"Latium","ItRomMR","Professions Professional soldiers","1","","-200","","complex","disputed","simple"
"Latium","ItRomMR","Professions Professional soldiers","0","","-200","","complex","disputed","simple"
"Latium","ItRomMR","Professions Professional priesthood","1","","","","simple","simple",""
"Latium","ItRomMR","Bureaucracy characteristics Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItRomMR","Bureaucracy characteristics Examination system","0","","","","simple","simple",""
"Latium","ItRomMR","Bureaucracy characteristics Merit promotion","0","","","","simple","simple",""
"Latium","ItRomMR","Bureaucracy characteristics Specialized government buildings","1","","","","simple","simple",""
"Latium","ItRomMR","Law Courts","0","","","","simple","simple",""
"Latium","ItRomMR","Law Formal legal code","1","","","","simple","simple",""
"Latium","ItRomMR","Law Judges","0","","","","simple","simple",""
"Latium","ItRomMR","Law Professional Lawyers","0","","","","complex","disputed",""
"Latium","ItRomMR","Law Professional Lawyers","1","","","","complex","disputed",""
"Latium","ItRomMR","Specialized Buildings: polity owned irrigation systems","1","","","","simple","simple",""
"Latium","ItRomMR","Specialized Buildings: polity owned drinking water supply systems","1","","","","simple","simple",""
"Latium","ItRomMR","Specialized Buildings: polity owned markets","1","","","","simple","simple",""
"Latium","ItRomMR","Specialized Buildings: polity owned food storage sites","1","","","","simple","simple",""
"Latium","ItRomMR","Specialized Buildings: polity owned Roads","1","","","","simple","simple",""
"Latium","ItRomMR","Specialized Buildings: polity owned Bridges","1","","","","simple","simple",""
"Latium","ItRomMR","Specialized Buildings: polity owned Canals","1","","","","simple","simple",""
"Latium","ItRomMR","Specialized Buildings: polity owned Ports","1","","","","simple","simple",""
"Latium","ItRomMR","Specialized Buildings: polity owned Mines or quarries","1","","","","simple","simple",""
"Latium","ItRomMR","Other Couriers","1","","","","simple","simple",""
"Latium","ItRomMR","Other Postal stations","0","","","","simple","simple",""
"Latium","ItRomMR","Other General postal service","0","","","","simple","simple",""
"Latium","ItRomMR","Information Nonwritten records","1","","","","simple","simple",""
"Latium","ItRomMR","Information Written records","1","","","","simple","simple",""
"Latium","ItRomMR","Information Script","1","","","","simple","simple",""
"Latium","ItRomMR","Information Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItRomMR","Information Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItRomMR","Information Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItRomMR","Information Calendar","1","","","","simple","simple",""
"Latium","ItRomMR","Information Sacred Texts","1","","","","simple","simple",""
"Latium","ItRomMR","Information Religious literature","1","","","","simple","simple",""
"Latium","ItRomMR","Information Practical literature","1","","","","simple","simple",""
"Latium","ItRomMR","Information History","1","","","","simple","simple",""
"Latium","ItRomMR","Information Philosophy","0.9","","","","simple","simple",""
"Latium","ItRomMR","Information Scientific literature","0.9","","","","simple","simple",""
"Latium","ItRomMR","Information Fiction","1","","","","simple","simple",""
"Latium","ItRomMR","Other Articles","1","","","","simple","simple",""
"Latium","ItRomMR","Other Tokens","0","","","","simple","simple",""
"Latium","ItRomMR","Other Precious metals","1","","","","simple","simple",""
"Latium","ItRomMR","Other Foreign coins","1","","","","simple","simple",""
"Latium","ItRomMR","Other Indigenous coins","1","","","","simple","simple",""
"Latium","ItRomMR","Other Paper currency","0","","","","simple","simple",""
"Latium","ItRomMR","Largest scale collective ritual of the official cult Frequency for the ritual specialist","2","","","","simple","simple",""
"Latium","ItRomMR","Largest scale collective ritual of the official cult Frequency per participant","2","","","","simple","simple",""
"Latium","ItRomMR","Largest scale collective ritual of the official cult Frequency for the audience","2","","","","simple","simple",""
"Latium","ItRomMR","Most widespread collective ritual of the official cult Frequency for the ritual specialist","2","","","","simple","simple",""
"Latium","ItRomMR","Most widespread collective ritual of the official cult Frequency per participant","2","","","","simple","simple",""
"Latium","ItRomMR","Most widespread collective ritual of the official cult Frequency for the audience","2","","","","simple","simple",""
"Latium","ItRomMR","Most frequent collective ritual of the official cult Frequency for the ritual specialist","6","","","","simple","simple",""
"Latium","ItRomMR","Most frequent collective ritual of the official cult Frequency per participant","6","","","","simple","simple",""
"Latium","ItRomMR","Most euphoric collective ritual of the official cult Frequency for the ritual specialist","1","","","","simple","simple",""
"Latium","ItRomMR","Most euphoric collective ritual of the official cult Frequency per participant","1","","","","simple","simple",""
"Latium","ItRomMR","Most euphoric collective ritual of the official cult Frequency for the audience","1","","","","simple","simple",""
"Latium","ItRomMR","Normative Ideological precepts concerning morality/supernatural beings High Gods (creator gods)","0","","","","simple","simple",""
"Latium","ItRomMR","Normative Ideological precepts concerning morality/supernatural beings supernatural enforcement of fairness","0","","","","simple","simple",""
"Latium","ItRomMR","Normative Ideological precepts concerning morality/supernatural beings supernatural enforcement of human reciprocity","1","","","","simple","simple",""
"Latium","ItRomMR","Normative Ideological precepts concerning morality/supernatural beings supernatural enforcement of in-group loyalty","1","","","","simple","simple",""
"Konya Plain","ItRomLR","Social Scale Polity Population","25000000","35000000","","","complex","range",""
"Latium","ItRomLR","Social Scale Polity Population","25000000","35000000","","","complex","range",""
"Paris Basin","ItRomLR","Social Scale Polity Population","25000000","35000000","","","complex","range",""
